opportunity_id,company_id,primary_contact_id,title,text,created_at,updated_at
OPP-ACME-UPGRADE,ACME-MFG,C-ACME-ANNA,Opportunity Notes – OPP-ACME-UPGRADE,"Acme Manufacturing opportunity context:
- Stage: Proposal
- Value: 15000 USD
- Expected close: 2025-12-15

Summary: Customer is exploring changes focused on automating follow-ups and reminders. Primary risk noted is duplicate contacts causing confusion. Recommended next step: build a renewal dashboard and set weekly review cadence.",2025-10-01,2025-11-10
OPP-ACME-RENEWAL,ACME-MFG,C-ACME-JOE,Opportunity Notes – OPP-ACME-RENEWAL,"Acme Manufacturing opportunity context:
- Stage: Qualified
- Value: 24000 USD
- Expected close: 2026-03-15

Summary: Customer is exploring changes focused on consolidating history/notes into a single customer timeline. Primary risk noted is inconsistent activity logging across the team. Recommended next step: schedule a 30‑minute admin setup call.",2025-09-15,2025-11-01
OPP-BETA-NEW,BETA-TECH,C-BETA-LISA,Opportunity Notes – OPP-BETA-NEW,"Beta Tech Solutions opportunity context:
- Stage: Negotiation
- Value: 32000 USD
- Expected close: 2025-12-31

Summary: Customer is exploring changes focused on segmenting contacts for targeted campaigns. Primary risk noted is inconsistent activity logging across the team. Recommended next step: import an updated contact list and resolve duplicates.",2025-08-20,2025-11-02
OPP-CROWN-RENEW,CROWN-FOODS,C-CROWN-MARIA,Opportunity Notes – OPP-CROWN-RENEW,"Crown Foods opportunity context:
- Stage: Proposal
- Value: 18000 USD
- Expected close: 2025-12-20

Summary: Customer is exploring changes focused on segmenting contacts for targeted campaigns. Primary risk noted is inconsistent activity logging across the team. Recommended next step: create a saved group for renewals and start outreach.",2025-09-10,2025-10-30
OPP-DELTA-RENEW,DELTA-HEALTH,C-DELTA-ERIN,Opportunity Notes – OPP-DELTA-RENEW,"Delta Health Clinics opportunity context:
- Stage: Qualified
- Value: 22000 USD
- Expected close: 2025-09-01

Summary: Customer is exploring changes focused on streamlining contact management and deduplication. Primary risk noted is inconsistent activity logging across the team. Recommended next step: schedule a 30‑minute admin setup call.",2025-06-01,2025-08-15
OPP-EAST-TRIAL,EASTERN-TRAVEL,C-EAST-SANJAY,Opportunity Notes – OPP-EAST-TRIAL,"Eastern Travel Co. opportunity context:
- Stage: New
- Value: 8000 USD
- Expected close: 2025-02-28

Summary: Customer is exploring changes focused on cleaning up pipeline stages and forecasting accuracy. Primary risk noted is low engagement from key contacts. Recommended next step: schedule a 30‑minute admin setup call.",2025-01-10,2025-10-05
OPP-FUSION-UPSELL,FUSION-RETAIL,C-FUSION-EMMA,Opportunity Notes – OPP-FUSION-UPSELL,"Fusion Retail Group opportunity context:
- Stage: Qualified
- Value: 12000 USD
- Expected close: 2026-05-10

Summary: Customer is exploring changes focused on streamlining contact management and deduplication. Primary risk noted is inconsistent activity logging across the team. Recommended next step: create a saved group for renewals and start outreach.",2025-07-01,2025-10-25
OPP-FUSION-RENEW,FUSION-RETAIL,C-FUSION-LARS,Opportunity Notes – OPP-FUSION-RENEW,"Fusion Retail Group opportunity context:
- Stage: Closed Won
- Value: 28000 USD
- Closed: 2025-09-30

Summary: Successfully renewed annual subscription. Customer expanded from 15 to 25 seats. Strong champion support from Emma Khan drove internal adoption. Contract signed 2 weeks ahead of deadline.",2025-07-15,2025-09-30
OPP-HARBOR-NEW,HARBOR-LOGISTICS,C-HARBOR-JACOB,Opportunity Notes – OPP-HARBOR-NEW,"Harbor Logistics opportunity context:
- Stage: Discovery
- Value: 26000 USD
- Expected close: 2025-08-30

Summary: Customer is exploring changes focused on cleaning up pipeline stages and forecasting accuracy. Primary risk noted is inconsistent activity logging across the team. Recommended next step: create a saved group for renewals and start outreach.",2025-05-15,2025-11-10
OPP-BETA-ADDON,BETA-TECH,C-BETA-SAM,Opportunity Notes – OPP-BETA-ADDON,"Beta Tech Solutions opportunity context:
- Stage: Discovery
- Value: 8000 USD
- Expected close: 2026-02-15

Summary: Technical team expressed interest in analytics add-on module. Sam Clarke is evaluating requirements. Depends on successful completion of main rollout (OPP-BETA-NEW). Low-touch opportunity that can be bundled with initial contract.",2025-11-01,2025-11-15
OPP-DELTA-EXPAND,DELTA-HEALTH,C-DELTA-ERIN,Opportunity Notes – OPP-DELTA-EXPAND,"Delta Health Clinics opportunity context:
- Stage: Discovery
- Value: 15000 USD
- Expected close: 2026-03-01

Summary: Following successful renewal, Erin Cho mentioned plans to expand to 3 additional clinic locations in Q1 2026. Need to present multi-location pricing and training package. Key risk: budget approval from corporate.",2025-10-01,2025-11-10
OPP-GREEN-RENEW,GREEN-ENERGY,C-GREEN-CARLOS,Opportunity Notes – OPP-GREEN-RENEW,"Green Energy Partners opportunity context:
- Stage: Closed Lost
- Value: 20000 USD
- Lost: 2025-06-15

Summary: CHURNED ACCOUNT. Customer did not renew due to budget cuts following restructuring. Carlos Mendez cited lack of clear ROI demonstration and infrequent account engagement. Post-mortem: should have implemented QBRs and usage reporting earlier. Win-back potential in 2026 after budget cycle.",2025-03-01,2025-06-15
OPP-GREEN-EXPAND,GREEN-ENERGY,C-GREEN-LINDA,Opportunity Notes – OPP-GREEN-EXPAND,"Green Energy Partners opportunity context:
- Stage: Closed Lost
- Value: 35000 USD
- Lost: 2025-05-10

Summary: LOST OPPORTUNITY. Expansion to solar division was cancelled when main account signaled intent to churn. Linda Park was championing internally but lost executive support. This deal collapse was early indicator of churn risk that we missed.",2024-11-01,2025-05-10
